,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott,increase_rmse_all,percent_increase_rmse_all,increase_rmse_non-boycott,percent_increase_rmse_non-boycott,increase_rmse_boycott,percent_increase_rmse_boycott,increase_rmse_all-like-boycott,percent_increase_rmse_all-like-boycott,increase_ndcg10_all,percent_increase_ndcg10_all,increase_ndcg10_non-boycott,percent_increase_ndcg10_non-boycott,increase_ndcg10_boycott,percent_increase_ndcg10_boycott,increase_ndcg10_all-like-boycott,percent_increase_ndcg10_all-like-boycott,increase_ndcg5_all,percent_increase_ndcg5_all,increase_ndcg5_non-boycott,percent_increase_ndcg5_non-boycott,increase_ndcg5_boycott,percent_increase_ndcg5_boycott,increase_ndcg5_all-like-boycott,percent_increase_ndcg5_all-like-boycott,increase_ndcgfull_all,percent_increase_ndcgfull_all,increase_ndcgfull_non-boycott,percent_increase_ndcgfull_non-boycott,increase_ndcgfull_boycott,percent_increase_ndcgfull_boycott,increase_ndcgfull_all-like-boycott,percent_increase_ndcgfull_all-like-boycott
0000_KNNBaseline_item_msd,998910,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854858502002095,0.0002565410778972988,0.8852700043074526,4.0695185140382506e-05,1.0370433249939284,0.15181401587161614,1.0370433249939284,0.15181401587161614,0.7910144264690674,-0.0011204546251647463,0.7910511868266855,-0.00108369426754662,0.7573877173490201,-0.03474716374521214,0.7573877173490201,-0.03474716374521214,0.7833764754719387,0.7834467734789208,0.7131209584706807,0.7131209584706807,0.9082552494042726,0.908279075713432,0.8843032183267562,0.8843032183267562,30.085683012008662,30.085683012008662,30.085683012008662,30.085683012008662,239.08141264915463,448.7448875427246,452.02726707458504,452.0360854148865,200041.8,199782.0,259.8,259.8,0.00014484386703694785,0.016360234757096526,-7.100202571996839e-05,-0.008019737616586666,0.15170231866075579,17.13490254891311,0.15170231866075579,17.13490254891311,-0.0005998592336855513,-0.07577670647429363,-0.0005630988760674249,-0.07113298562664717,-0.034226568353732834,-4.323642078205841,-0.034226568353732834,-4.323642078205841,0.0005801682037116507,0.0741148365577119,0.0006504662106937564,0.08309520684425925,-0.06967534879754633,-8.90082747588536,-0.06967534879754633,-8.90082747588536,5.710519964341465e-05,0.006287746788276643,8.09315088028395e-05,0.00891121715225665,-0.023894925877873008,-2.631025622585853,-0.023894925877873008,-2.631025622585853
0000_SVD,998910,6034,3706,6 user sample,SVD,0.8740117056459091,-0.00038484892467371967,0.8737977966186085,-0.0005987579519743934,1.024167354969403,0.14977080039882018,1.024167354969403,0.14977080039882018,0.7936531151696907,-3.375629302115879e-05,0.7937138050571239,2.6933594411970848e-05,0.7392440289312185,-0.05444284253149334,0.7392440289312185,-0.05444284253149334,0.7848536306415657,0.7849509880104713,0.6894701010980289,0.6894701010980289,0.9095186725285912,0.909549021696466,0.8790089996161493,0.8790089996161493,113.15973353385924,113.15973353385924,113.15973353385924,113.15973353385924,66.45112657546997,94.93254647254943,101.61878433227541,101.62958769798279,200041.8,199782.0,259.8,259.8,-0.011329300687263455,-1.2796538967720648,-0.011543209714564129,-1.303815098588145,0.13882634863623045,15.680551069379378,0.13882634863623045,15.680551069379378,0.002038829466937786,0.25755339484908635,0.0020995193543709156,0.2652199931570303,-0.052370256771534396,-6.6156280548983375,-0.052370256771534396,-6.6156280548983375,0.0020573233733386376,0.2628172047104063,0.0021546807422442305,0.2752543314573818,-0.09332620617019816,-11.922157182356214,-0.09332620617019816,-11.922157182356214,0.0013205283239620114,0.14540090534081498,0.0013508774918368216,0.14874259548502786,-0.029189144588479876,-3.2139621485400407,-0.029189144588479876,-3.2139621485400407
0001_KNNBaseline_item_msd,999600,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854297402069558,0.00020043108464351533,0.8854210835272529,0.00019177440494067,0.8981333676727417,0.01290405855042942,0.8981333676727417,0.01290405855042942,0.7917303498909398,-0.0004045312032923132,0.7917409156816253,-0.0003939654126068337,0.7801726702846199,-0.011962210809612128,0.7801726702846199,-0.011962210809612128,0.7838570132456424,0.7838700521717475,0.7638709683336976,0.7638709683336976,0.9082662836320172,0.908264428394106,0.9101307415434432,0.9101307415434432,28.951019382476808,28.951019382476808,28.951019382476808,28.951019382476808,263.5741265296936,482.68190054893495,486.0360872745514,486.04166450500486,200041.8,199920.0,121.8,121.8,8.873387378316444e-05,0.010022564542748854,8.00771940803191e-05,0.00904478539991904,0.01279236133956907,1.444907809314215,0.01279236133956907,1.444907809314215,0.0001160641881868818,0.014661709658744498,0.00012662997887236127,0.015996424162551075,-0.011441615418133044,-1.4453523167505484,-0.011441615418133044,-1.4453523167505484,0.001060705977415366,0.1355021692829617,0.0010737449035205238,0.13716785497719555,-0.018925338934529412,-2.417658177332791,-0.018925338934529412,-2.417658177332791,6.813942738803647e-05,0.007502704979397507,6.628418947685066e-05,0.00729842820091867,0.0019325973388140127,0.21279468045010372,0.0019325973388140127,0.21279468045010372
0001_SVD,999600,6034,3706,6 user sample,SVD,0.8743799559676108,-1.6598602972095478e-05,0.8743616723077945,-3.4882262788360485e-05,0.9023640018551108,0.027967447284527932,0.9023640018551108,0.027967447284527932,0.7933317805582883,-0.00035509090442353836,0.7933440986847872,-0.00034277277792471583,0.7798563044006903,-0.01383056706202157,0.7798563044006903,-0.01383056706202157,0.7843679000362649,0.7843864736162518,0.7618355521367483,0.7618355521367483,0.9091003234863104,0.9091023159719256,0.9070969728828044,0.9070969728828044,122.4696807861328,122.4696807861328,122.4696807861328,122.4696807861328,51.63294892311096,97.3338339805603,102.24749093055723,102.25737500190736,200041.8,199920.0,121.8,121.8,-0.01096105036556183,-1.2380597179113326,-0.010979334025378096,-1.240124872432074,0.0170229955219382,1.922761444479178,0.0170229955219382,1.922761444479178,0.0017174948555354064,0.2169610739162831,0.001729812982034229,0.21851715074830835,-0.011757981302062626,-1.4853169674198738,-0.011757981302062626,-1.4853169674198738,0.001571592768037866,0.2007665025301858,0.0015901663480247796,0.20313922450325322,-0.02096075513147877,-2.6776768026189113,-0.02096075513147877,-2.6776768026189113,0.0009021792816812368,0.09933727429836763,0.0009041717672964023,0.09955666316498003,-0.0011011713218247454,-0.1212479158707284,-0.0011011713218247454,-0.1212479158707284
0002_KNNBaseline_item_msd,999620,6034,3706,6 user sample,KNNBaseline_item_msd,0.8856099992255215,0.0003806901032092913,0.885520677924428,0.0002913688021157768,1.0258564810625728,0.14062717194026053,1.0258564810625728,0.14062717194026053,0.7907139770225876,-0.0014209040716445245,0.7906202411223759,-0.001514639971856191,0.8899392666353784,0.09780438554114623,0.8899392666353784,0.09780438554114623,0.7823140438180662,0.7822084211724589,0.8835696427907045,0.8835696427907045,0.9078990364534468,0.9078652885863184,0.9418105425215412,0.9418105425215412,29.489946269989012,29.489946269989012,29.489946269989012,29.489946269989012,246.72286953926087,467.2164873123169,470.4867127895356,470.4917119503022,200041.8,199924.0,117.8,117.8,0.0002689928923489404,0.030382969999665044,0.00017967159125542587,0.02029405505564165,0.14051547472940018,15.871339260718852,0.14051547472940018,15.871339260718852,-0.0009003086801653293,-0.11373072674731777,-0.000994044580376996,-0.1255718344565417,0.09832498093262543,12.420819420323847,0.09832498093262543,12.420819420323847,-0.0004822634501607803,-0.06160778298044929,-0.0005878860957680976,-0.07510077529870833,0.10077333552247747,12.873506758629516,0.10077333552247747,12.873506758629516,-0.0002991077511823592,-0.03293419537256467,-0.0003328556183107567,-0.0366501099385378,0.033612398316911984,3.7009983483668805,0.033612398316911984,3.7009983483668805
0002_SVD,999620,6034,3706,6 user sample,SVD,0.8737276874887197,-0.0006688670818632003,0.8736153784363667,-0.0007811761342161327,1.0469379274358237,0.17254137286524066,1.0469379274358237,0.17254137286524066,0.7937891412715834,0.00010226980887151348,0.7937051014846268,1.823002191492229e-05,0.8823909364998395,0.08870406503712758,0.8823909364998395,0.08870406503712758,0.7853843335212459,0.7853032367120975,0.8634552339550217,0.8634552339550217,0.9095143333336904,0.9094871152638326,0.936864819924524,0.936864819924524,111.72063460350037,111.72063460350037,111.72063460350037,111.72063460350037,78.89926199913025,112.56781153678894,117.33716683387756,117.34327535629272,200041.8,199924.0,117.8,117.8,-0.011613318844452936,-1.3117339828810095,-0.011725627896805868,-1.3244193833707127,0.16159692110265111,18.252506090499413,0.16159692110265111,18.252506090499413,0.0021748555688304583,0.27473677624447335,0.002090815781873867,0.2641205217788297,0.09077665079708652,11.46728304890302,0.09077665079708652,11.46728304890302,0.0025880262530189047,0.3306129869276595,0.0025069294438704315,0.32025310040347776,0.08065892668679464,10.303948286148042,0.08065892668679464,10.303948286148042,0.0013161891290611738,0.14492312470136678,0.0012889710592034476,0.14192619390697908,0.028666675719894785,3.156434078050241,0.028666675719894785,3.156434078050241
0003_KNNBaseline_item_msd,998636,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854650520488626,0.00023574292655037518,0.8855686970430903,0.0003393879207780337,0.8158289743055419,-0.06940033481677021,0.8158289743055419,-0.06940033481677021,0.7912466962883712,-0.0008881848058609476,0.7912558343194668,-0.0008790467747653574,0.7798848976840105,-0.012249983410221654,0.7798848976840105,-0.012249983410221654,0.7832210190952869,0.7832356205507988,0.7697126731359522,0.7697126731359522,0.9081930498379056,0.9081829891407368,0.918306053145312,0.918306053145312,30.666738891601558,30.666738891601558,30.666738891601558,30.666738891601558,272.45970978736875,481.49374132156373,485.3403529644012,485.35585083961485,200041.8,199727.2,314.6,314.6,0.00012404571569002432,0.01401106633519506,0.0002276907099176828,0.02571785428314364,-0.06951203202763068,-7.851441594864051,-0.06951203202763068,-7.851441594864051,-0.00036758941438175263,-0.046435419499210574,-0.00035845138328616244,-0.045281065508810066,-0.01172938801874246,-1.4817049452726505,-0.01172938801874246,-1.4817049452726505,0.00042471182705983157,0.05425572695175005,0.0004393132825717405,0.05612102132990885,-0.013083634132274868,-1.671397017435307,-0.013083634132274868,-1.671397017435307,-5.094366723579213e-06,-0.0005609311972378777,-1.5155063892380305e-05,-0.0016686957564367878,0.010107908940682808,1.1129629591497339,0.010107908940682808,1.1129629591497339
0003_SVD,998636,6034,3706,6 user sample,SVD,0.8740000563768009,-0.0003964981937819578,0.8740847190202163,-0.00031183555036651267,0.8173255124879202,-0.05707104208266268,0.8173255124879202,-0.05707104208266268,0.7934086391607306,-0.00027823230198131815,0.7934257015897381,-0.0002611698729737544,0.7755757047529148,-0.018111166709797063,0.7755757047529148,-0.018111166709797063,0.7849361698068746,0.7849676111504726,0.7557937968472725,0.7557937968472725,0.9092871621540018,0.9092840475865778,0.9124182078011518,0.9124182078011518,116.58144764900207,116.58144764900207,116.58144764900207,116.58144764900207,60.48788280487061,89.7082504272461,96.90238723754881,96.92263908386231,200041.8,199727.2,314.6,314.6,-0.011340949956371693,-1.280969691367018,-0.011256287312956248,-1.271406975666534,-0.0680154938452524,-7.682406367570501,-0.0680154938452524,-7.682406367570501,0.0017943534579776266,0.22667017136820558,0.0018114158869851904,0.2288255681713869,-0.01603858094983812,-2.0260600698482754,-0.01603858094983812,-2.0260600698482754,0.002139862538647619,0.27336134812838225,0.002171303882245623,0.2773778902742857,-0.027002510420954473,-3.449493842809097,-0.027002510420954473,-3.449493842809097,0.0010890179493726615,0.11990973074784121,0.001085903381948583,0.11956679155071193,0.004220063596522605,0.46466331421744994,0.004220063596522605,0.46466331421744994
0004_KNNBaseline_item_msd,998864,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854035742903485,0.0001742651680363139,0.8848434039084776,-0.0003859052138346364,1.2330047554708785,0.3477754463485663,1.2330047554708785,0.3477754463485663,0.7912544387690692,-0.0008804423251631555,0.7913670559066588,-0.0007678251875733455,0.6881352209353262,-0.10399966015890594,0.6881352209353262,-0.10399966015890594,0.7833978585902825,0.7835132961120739,0.6659358243986084,0.6659358243986084,0.90803882203257,0.908082767615696,0.8638577438703748,0.8638577438703748,28.987132835388184,28.987132835388184,28.987132835388184,28.987132835388184,255.96580986976625,464.6250635147095,467.89339394569396,467.9021861553192,200041.8,199772.8,269.0,269.0,6.256795717596297e-05,0.007067102588538334,-0.0004976024246949873,-0.05620460603715999,0.3476637491377059,39.26890843762326,0.3476637491377059,39.26890843762326,-0.00035984693368373843,-0.04545735722344696,-0.0002472297960941505,-0.03123109329370845,-0.10347906476742674,-13.071904668264487,-0.10347906476742674,-13.071904668264487,0.0006015513220555269,0.07684646905844483,0.0007169888438468552,0.09159328387086749,-0.11686048286961859,-14.928594039672195,-0.11686048286961859,-14.928594039672195,-0.000159322172059162,-0.017542666550887005,-0.00011537658893323588,-0.012703900538607574,-0.04434040033425435,-4.882238597072475,-0.04434040033425435,-4.882238597072475
0004_SVD,998864,6034,3706,6 user sample,SVD,0.8737871085681446,-0.0006094460024382853,0.8732105731428644,-0.0011859814277184189,1.2294147497172634,0.3550181951466805,1.2294147497172634,0.3550181951466805,0.7934347761662773,-0.0002520952964345513,0.7935377976161527,-0.00014907384655915568,0.6996657710779981,-0.09402110038471377,0.6996657710779981,-0.09402110038471377,0.7854113459112051,0.7855092625606653,0.6849978740947538,0.6849978740947538,0.909401791416868,0.9094390152508204,0.8719788408104183,0.8719788408104183,115.75310263633727,115.75310263633727,115.75310263633727,115.75310263633727,72.14548583030701,110.63340468406678,116.6397253036499,116.65238857269287,200041.8,199772.8,269.0,269.0,-0.01155389776502802,-1.3050223227410347,-0.012130433190308154,-1.3701424765750898,0.3440737433840908,38.863414314123446,0.3440737433840908,38.863414314123446,0.0018204904635243935,0.22997190631903,0.001923511913399789,0.2429860031760541,-0.09194851462475484,-11.615317748229852,-0.09194851462475484,-11.615317748229852,0.0026150386429780736,0.3340637428533531,0.0027129552924383127,0.3465723160991755,-0.09779843317347325,-12.493471451694315,-0.09779843317347325,-12.493471451694315,0.0012036472122388675,0.13253134461015478,0.0012408710461911943,0.13662999138562537,-0.03621930339421087,-3.9880397934451377,-0.03621930339421087,-3.9880397934451377
