,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,998910,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854858502002095,0.00025654107789729874,0.8852700043074526,4.0695185140382506e-05,1.0370433249939284,0.15181401587161614,1.0370433249939284,0.15181401587161614,0.7910144264690674,-0.0011204546251647463,0.7910511868266855,-0.00108369426754662,0.75738771734902,-0.03474716374521214,0.75738771734902,-0.03474716374521214,0.7833764754719387,0.7834467734789208,0.7131209584706807,0.7131209584706807,0.9082552494042726,0.9082790757134319,0.8843032183267562,0.8843032183267562,30.085683012008666,30.085683012008666,30.085683012008666,30.085683012008666,239.08141264915466,448.7448875427246,452.027267074585,452.0360854148865,200041.8,199782.0,259.8,259.8
0000_SVD,998910,6034,3706,6 user sample,SVD,0.8740117056459091,-0.00038484892467371967,0.8737977966186085,-0.0005987579519743935,1.024167354969403,0.14977080039882018,1.024167354969403,0.14977080039882018,0.7936531151696907,-3.375629302115879e-05,0.7937138050571239,2.693359441197085e-05,0.7392440289312185,-0.05444284253149334,0.7392440289312185,-0.05444284253149334,0.7848536306415657,0.7849509880104713,0.6894701010980289,0.6894701010980289,0.9095186725285911,0.9095490216964661,0.8790089996161493,0.8790089996161493,113.15973353385925,113.15973353385925,113.15973353385925,113.15973353385925,66.45112657546997,94.93254647254943,101.6187843322754,101.62958769798279,200041.8,199782.0,259.8,259.8
0001_KNNBaseline_item_msd,999600,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854297402069558,0.00020043108464351533,0.8854210835272529,0.00019177440494067,0.8981333676727417,0.01290405855042942,0.8981333676727417,0.01290405855042942,0.7917303498909398,-0.0004045312032923132,0.7917409156816253,-0.0003939654126068337,0.78017267028462,-0.011962210809612128,0.78017267028462,-0.011962210809612128,0.7838570132456424,0.7838700521717475,0.7638709683336976,0.7638709683336976,0.9082662836320171,0.9082644283941059,0.9101307415434432,0.9101307415434432,28.951019382476808,28.951019382476808,28.951019382476808,28.951019382476808,263.5741265296936,482.68190054893495,486.0360872745514,486.04166450500486,200041.8,199920.0,121.8,121.8
0001_SVD,999600,6034,3706,6 user sample,SVD,0.8743799559676108,-1.6598602972095478e-05,0.8743616723077945,-3.4882262788360485e-05,0.9023640018551108,0.027967447284527935,0.9023640018551108,0.027967447284527935,0.7933317805582883,-0.0003550909044235384,0.7933440986847872,-0.00034277277792471583,0.7798563044006903,-0.01383056706202157,0.7798563044006903,-0.01383056706202157,0.7843679000362649,0.7843864736162518,0.7618355521367483,0.7618355521367483,0.9091003234863105,0.9091023159719255,0.9070969728828044,0.9070969728828044,122.46968078613281,122.46968078613281,122.46968078613281,122.46968078613281,51.63294892311096,97.3338339805603,102.24749093055725,102.25737500190735,200041.8,199920.0,121.8,121.8
0002_KNNBaseline_item_msd,999620,6034,3706,6 user sample,KNNBaseline_item_msd,0.8856099992255215,0.0003806901032092913,0.885520677924428,0.00029136880211577676,1.0258564810625728,0.14062717194026053,1.0258564810625728,0.14062717194026053,0.7907139770225876,-0.0014209040716445243,0.7906202411223759,-0.001514639971856191,0.8899392666353784,0.09780438554114623,0.8899392666353784,0.09780438554114623,0.7823140438180662,0.7822084211724589,0.8835696427907045,0.8835696427907045,0.9078990364534467,0.9078652885863185,0.9418105425215411,0.9418105425215411,29.489946269989012,29.489946269989012,29.489946269989012,29.489946269989012,246.72286953926087,467.2164873123169,470.48671278953555,470.49171195030215,200041.8,199924.0,117.8,117.8
0002_SVD,999620,6034,3706,6 user sample,SVD,0.8737276874887197,-0.0006688670818632003,0.8736153784363667,-0.0007811761342161327,1.0469379274358235,0.17254137286524063,1.0469379274358235,0.17254137286524063,0.7937891412715834,0.00010226980887151349,0.7937051014846268,1.823002191492229e-05,0.8823909364998395,0.08870406503712758,0.8823909364998395,0.08870406503712758,0.7853843335212459,0.7853032367120975,0.8634552339550217,0.8634552339550217,0.9095143333336905,0.9094871152638326,0.9368648199245241,0.9368648199245241,111.72063460350037,111.72063460350037,111.72063460350037,111.72063460350037,78.89926199913025,112.56781153678894,117.33716683387756,117.34327535629272,200041.8,199924.0,117.8,117.8
0003_KNNBaseline_item_msd,998636,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854650520488626,0.0002357429265503752,0.8855686970430903,0.0003393879207780337,0.815828974305542,-0.06940033481677021,0.815828974305542,-0.06940033481677021,0.7912466962883712,-0.0008881848058609476,0.7912558343194668,-0.0008790467747653574,0.7798848976840105,-0.012249983410221654,0.7798848976840105,-0.012249983410221654,0.7832210190952869,0.7832356205507988,0.7697126731359522,0.7697126731359522,0.9081930498379057,0.9081829891407367,0.9183060531453121,0.9183060531453121,30.66673889160156,30.66673889160156,30.66673889160156,30.66673889160156,272.45970978736875,481.49374132156373,485.34035296440123,485.35585083961485,200041.8,199727.2,314.6,314.6
0003_SVD,998636,6034,3706,6 user sample,SVD,0.8740000563768009,-0.00039649819378195783,0.8740847190202163,-0.00031183555036651267,0.8173255124879202,-0.05707104208266267,0.8173255124879202,-0.05707104208266267,0.7934086391607306,-0.0002782323019813182,0.7934257015897381,-0.0002611698729737544,0.7755757047529148,-0.018111166709797066,0.7755757047529148,-0.018111166709797066,0.7849361698068746,0.7849676111504726,0.7557937968472725,0.7557937968472725,0.9092871621540018,0.9092840475865778,0.9124182078011518,0.9124182078011518,116.58144764900207,116.58144764900207,116.58144764900207,116.58144764900207,60.48788280487061,89.7082504272461,96.90238723754882,96.92263908386231,200041.8,199727.2,314.6,314.6
0004_KNNBaseline_item_msd,998864,6034,3706,6 user sample,KNNBaseline_item_msd,0.8854035742903485,0.00017426516803631387,0.8848434039084776,-0.0003859052138346364,1.2330047554708785,0.3477754463485663,1.2330047554708785,0.3477754463485663,0.791254438769069,-0.0008804423251631555,0.7913670559066588,-0.0007678251875733455,0.6881352209353262,-0.10399966015890594,0.6881352209353262,-0.10399966015890594,0.7833978585902825,0.7835132961120739,0.6659358243986084,0.6659358243986084,0.9080388220325701,0.9080827676156961,0.8638577438703748,0.8638577438703748,28.987132835388184,28.987132835388184,28.987132835388184,28.987132835388184,255.96580986976625,464.6250635147095,467.89339394569396,467.9021861553192,200041.8,199772.8,269.0,269.0
0004_SVD,998864,6034,3706,6 user sample,SVD,0.8737871085681446,-0.0006094460024382853,0.8732105731428644,-0.0011859814277184189,1.2294147497172634,0.35501819514668054,1.2294147497172634,0.35501819514668054,0.7934347761662773,-0.0002520952964345513,0.7935377976161527,-0.00014907384655915568,0.6996657710779981,-0.09402110038471378,0.6996657710779981,-0.09402110038471378,0.7854113459112051,0.7855092625606653,0.6849978740947538,0.6849978740947538,0.9094017914168679,0.9094390152508203,0.8719788408104183,0.8719788408104183,115.75310263633727,115.75310263633727,115.75310263633727,115.75310263633727,72.14548583030701,110.63340468406678,116.6397253036499,116.65238857269287,200041.8,199772.8,269.0,269.0
