,num_ratings,num_users,num_movies,name,algo_name,rmse_all,increase_from_baseline_rmse_all,rmse_non-boycott,increase_from_baseline_rmse_non-boycott,rmse_boycott,increase_from_baseline_rmse_boycott,rmse_like-boycott,increase_from_baseline_rmse_like-boycott,rmse_all-like-boycott,increase_from_baseline_rmse_all-like-boycott,ndcg10_all,increase_from_baseline_ndcg10_all,ndcg10_non-boycott,increase_from_baseline_ndcg10_non-boycott,ndcg10_boycott,increase_from_baseline_ndcg10_boycott,ndcg10_like-boycott,increase_from_baseline_ndcg10_like-boycott,ndcg10_all-like-boycott,increase_from_baseline_ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_like-boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_like-boycott,ndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_like-boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_like-boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_like-boycott,num_tested_all-like-boycott
0000_KNNBaseline_item_msd,991066,5990,3705,users from state US_CO excluded,KNNBaseline_item_msd,0.886257750264772,0.0007925930225164413,0.8847291487716331,-0.0007360084706224956,1.0385719001994516,0.15310674295719595,0.8517346503167442,-0.03373050692551138,0.9469884684828507,0.06152331124059507,0.7917164932832492,0.00016405181503809096,0.7917627121551313,0.00021027068692014428,0.785620498658643,-0.005931942809568103,0.7709686878758945,-0.020583753592316678,0.7780439194657442,-0.013508522002466883,0.7833984564750507,0.7833615988918927,0.7870781768933671,0.7675487073224296,0.7774159981560846,0.908374537597255,0.9083231210873371,0.9145311299302528,0.9074089659143955,0.9109347896846216,24.625574350357056,24.625574350357056,24.625574350357056,24.625574350357056,24.625574350357056,177.66857767105103,339.0101071357727,346.1125967502594,347.41709513664244,348.94266495704653,200041.8,198213.2,1828.6,1945.4,3774.0
0000_SVD,991517,5990,3705,users from state US_CO excluded,SVD,0.8748278052799392,0.0012165422647544277,0.873774880202656,0.00016361718747126552,0.9874270070114053,0.11381574399622052,0.8864695030102343,0.012858239995049536,0.9343868109976189,0.06077554798243412,0.7928599132143345,0.0006776628439707499,0.7929104395219614,0.0007281891515976691,0.7874186441906513,-0.004763606179712387,0.7727970954510558,-0.019385154919307923,0.7803174673957282,-0.011864782974635557,0.7848500160144927,0.7848702118926839,0.7826584023262357,0.7765981846938536,0.7795936546635576,0.9094760311252955,0.9094643750389361,0.9108700473297737,0.9093397664333365,0.910097331233553,106.2546368598938,106.2546368598938,106.2546368598938,106.2546368598938,106.2546368598938,20.545694494247435,33.03303079605102,36.73862204551697,36.82324185371399,36.93334584236145,200041.8,198303.4,1738.4,2035.6,3774.0
0001_KNNBaseline_item_msd,985640,5960,3706,users from state US_FL excluded,KNNBaseline_item_msd,0.8872246336121185,0.0017594763698628446,0.8860365762562633,0.0005714190140077013,0.9640905355241814,0.07862537828192584,0.8687388848331308,-0.01672627240912483,0.9176465801528764,0.03218142291062076,0.7915372032067582,-1.5238261452887869e-05,0.7915410229705312,-1.1418497679938078e-05,0.791520653853701,-3.1787614510170314e-05,0.7866671986348699,-0.004885242833341241,0.7889775450152726,-0.002574896452938513,0.7827981405351713,0.7828211363201902,0.7811706225347155,0.7818533691432288,0.7813942335760438,0.9083736918397094,0.9083758898490725,0.9082097263337436,0.9107443048269911,0.9094634925528666,24.536843252182006,24.536843252182006,24.536843252182006,24.536843252182006,24.536843252182006,182.78460502624512,343.89754114151003,348.08079209327695,350.17685055732727,352.63004207611084,200041.8,197128.0,2913.8,2925.2,5839.0
0001_SVD,981911,5960,3706,users from state US_FL excluded,SVD,0.8765534217389316,0.0029421587237468128,0.8748789275774003,0.001267664562215498,0.9621343237454963,0.08852306073031158,0.8474420105525479,-0.026169252462636905,0.9210377228069861,0.04742645979180138,0.7929215990600385,0.0007393486896747348,0.7933566912825727,0.0011744409122089738,0.7644552847716864,-0.027726965598677267,0.8056154383049998,0.013433187934636104,0.7831273696244432,-0.009054880745920535,0.7850906204432884,0.7853958388994818,0.7634705156898882,0.7966061069426883,0.7795254595203571,0.9095001252291894,0.9095284124112257,0.907393079148944,0.9085269976160024,0.9079564726011304,102.8300226688385,102.8300226688385,102.8300226688385,102.8300226688385,102.8300226688385,27.019689321517944,40.33644876480103,43.825226402282716,43.915459871292114,44.0532365322113,200041.8,196382.2,3659.6,2179.4,5839.0
0002_KNNBaseline_item_msd,990946,5975,3704,users from state US_NJ excluded,KNNBaseline_item_msd,0.8860774813665385,0.0006123241242829147,0.8850737754597361,-0.0003913817825195176,0.987463214229043,0.10199805698678743,0.8483553331689879,-0.03710982407326768,0.912303782419024,0.026838625176768383,0.7915238754725233,-2.856599568779039e-05,0.7917111849343592,0.00015874346614808132,0.7736698921733676,-0.017882549294843564,0.8032877487203477,0.011735307252136562,0.7896386383722008,-0.0019138030960103025,0.7832446181791424,0.7835716402416766,0.7532679316084531,0.7942711842920887,0.7739401075202883,0.908201148356118,0.9083558534852683,0.8939414158563741,0.9160691076291254,0.9050204666690072,24.359125804901122,24.359125804901122,24.359125804901122,24.359125804901122,24.359125804901122,174.64801597595215,340.49437408447267,344.4424339294434,345.92041120529177,347.45578055381776,200041.8,198189.2,1852.6,2344.6,4197.2
0002_SVD,990694,5975,3705,users from state US_NJ excluded,SVD,0.8748579003506055,0.0012466373354207416,0.874225737399648,0.0006144743844632705,0.9381930340660716,0.0645817710508868,0.8835328900558667,0.00992162704068189,0.9087517282725909,0.035140465257406106,0.7923634226657823,0.0001811722954185857,0.7923663613688503,0.0001841109984865863,0.7919432189103105,-0.0002390314600532184,0.7932399164792454,0.001057666108881694,0.7926630397999538,0.0004807894295900672,0.7839785168011678,0.7840213361260122,0.7800433302462291,0.780691422512958,0.780341361608581,0.9094099240101539,0.9094246890315609,0.9080515532847959,0.909580393840679,0.9088159735627375,104.95496988296509,104.95496988296509,104.95496988296509,104.95496988296509,104.95496988296509,13.60442476272583,29.262406444549562,33.19121870994568,33.26316156387329,33.36670708656311,200041.8,198138.8,1903.0,2294.2,4197.2
0003_KNNBaseline_item_msd,979050,5891,3703,users from state US_MA excluded,KNNBaseline_item_msd,0.8885279593647206,0.0030628021224650137,0.8850064978970373,-0.0004586593452182708,1.0384769424093931,0.15301178516713754,0.9047716777275125,0.01930652048525694,0.9697656642211763,0.08430050697892066,0.7900939343647176,-0.0014585071034934893,0.7906369310919313,-0.0009155103762797934,0.7686560878629769,-0.022896353605234232,0.789782244426056,-0.0017701970421550861,0.7793538206136377,-0.012198620854573461,0.7822228067401504,0.7828197364025857,0.7586265973424403,0.7782487848642935,0.7684418282165787,0.9078291844603982,0.9081085242359743,0.8967934157370548,0.906176787953544,0.9014851018452994,25.342307090759277,25.342307090759277,25.342307090759277,25.342307090759277,25.342307090759277,175.8935016155243,335.4565960407257,345.70751132965086,349.69289526939394,352.9559218406677,200041.8,195810.0,4231.8,4790.6,9022.4
0003_SVD,976158,5891,3701,users from state US_MA excluded,SVD,0.8776901116710943,0.004078848655909573,0.8742220030213824,0.000610740006197652,1.0084044349370458,0.13479317192186102,0.9049101778855068,0.03129891487032199,0.9614948235877497,0.08788356057256497,0.7925723817397876,0.00039013136942389615,0.7933044328206035,0.0011221824502397615,0.7643505621386397,-0.027831688231723994,0.7959145553141512,0.003732304943787512,0.7796272937793874,-0.012554956590976274,0.7842735799451951,0.7852286941267377,0.7466937722763287,0.7963163274828418,0.7713502787736426,0.9092571998995045,0.9096353774602015,0.894315388811474,0.9147996207118894,0.904548657521637,101.82874875068664,101.82874875068664,101.82874875068664,101.82874875068664,101.82874875068664,20.38813829421997,33.333838319778444,37.26603970527649,37.9855215549469,38.21352620124817,200041.8,195231.6,4810.2,4212.2,9022.4
0004_KNNBaseline_item_msd,963468,5808,3700,users from state US_NY excluded,KNNBaseline_item_msd,0.8903604540565185,0.004895296814262928,0.8852856029115019,-0.00017955433075367289,1.0144061061265361,0.12894094888428054,0.9017893878070777,0.01632423056482213,0.9613528668358571,0.07588770959360147,0.7909997507090093,-0.0005526907592018349,0.7918710388500403,0.0003185973818291554,0.7680999612145232,-0.023452480253687957,0.7998257708040937,0.00827332933588254,0.7837323607827035,-0.007820080685507658,0.7826136615310083,0.7835326029248956,0.7596649067949055,0.7959844973705106,0.7775817375448408,0.9082618337281904,0.9086777802937307,0.8978494479708038,0.914193136063729,0.9060252886128408,24.07010703086853,24.07010703086853,24.07010703086853,24.07010703086853,24.07010703086853,176.72001791000366,344.96151609420775,348.48481345176697,352.90244302749636,357.94257311820985,200041.8,192693.6,7348.2,6942.2,14290.4
0004_SVD,964900,5808,3699,users from state US_NY excluded,SVD,0.8786342418796934,0.005022978864508643,0.8735712917910547,-3.9971224130019856e-05,1.0071725181562428,0.133561255141058,0.8819656483376441,0.008354385322459357,0.9459080683103037,0.07229680529511895,0.7930035916284659,0.0008213412581021817,0.7941940113370409,0.002011760966677212,0.7610099756344008,-0.031172274735962957,0.7981947088626186,0.006012458492254846,0.7798293707169774,-0.012352879653386273,0.7850462959902178,0.7861248295619248,0.757363914805019,0.7902194038513682,0.7738052599020285,0.9095092013037197,0.9099525657466099,0.8983972533689407,0.9108634659012396,0.9046321202990433,101.78838067054748,101.78838067054748,101.78838067054748,101.78838067054748,101.78838067054748,17.022634553909302,30.732533121109007,34.40489854812622,35.55343804359436,36.98258457183838,200041.8,192980.0,7061.8,7228.6,14290.4
