,boycott_uid_set,like_boycotters_uid_set
0000,2572;3596;5645;4118;2583;1569;2593;5156;5679;3635;53;1595;2124;4686;4687;1113;2656;3684;3688;3697;3699;3192;2176;5255;2185;5770;4748;661;3226;669;161;5629;4772;5801;2731;2733;2232;4801;716;2766;2259;2781;5858;3810;3306;239;5363;3317;1275;1790;1802;3864;3874;1315;3365;295;1842;2866;4406;829;3400;330;3403;4959;5484;4470;4994;2438;5000;3474;1940;1947;413;928;419;2468;2483;1972;953;957;5056;4032;4034;4050;979;3036;5094;5097;5100;5103;4084;5626;1021,3590;3592;3081;4107;1551;2064;17;4649;1071;1586;4659;1591;81;594;1131;4204;1134;4207;2683;2171;130;2178;2691;3228;5630;170;682;5805;2738;5300;1724;1727;4806;714;1746;5847;1753;3813;2790;5862;3304;3819;4333;4337;1268;2293;3834;4363;270;4375;1306;3356;4898;4904;811;300;2859;303;307;5427;5948;3902;5446;1863;3916;3412;346;1901;5489;2933;6011;3452;2942;4484;1926;5512;2957;412;1437;1949;5537;3501;437;1983;451;5064;5582;1498;2526;5598;3044;5102;4094
0001,5504;4484;5000;3592;3979;4748;3864;408;1306;1697;2593;4645;307;1983;583;1481;2124;5841;2003;1494;343;989;5343;3560;233;2157;1645;884;4086;1530;764;6013,5384;3597;18;3474;3858;4507;1062;4904;937;5033;1835;2860;184;953;4411;2750;2631;5447;4809;4298;5704;3286;5847;3032;346;97;2145;2148;5483;4206;379
0002,2691;4484;5255;3592;4107;5396;3095;3101;1697;4518;937;1834;44;4659;951;3769;953;3390;5701;583;840;5841;5845;3032;985;1885;5343;2145;5090;1132;4206;4086;3704,2944;2689;5504;3080;4363;4748;3597;5008;4507;162;4904;1835;2091;1586;3002;58;4411;1347;1224;4298;5707;2124;1746;2259;4050;5847;1241;346;3688;5483;623;4595;764
0003,1536;3596;5132;5137;2070;4129;5671;4649;5165;1586;567;5690;3136;2113;2118;4177;81;4179;597;4187;91;4189;3167;101;3686;1134;2159;1649;2163;5753;2171;5756;5757;3711;2689;1670;5255;5768;3210;138;661;1180;1192;2729;682;1718;186;4801;2243;1732;4293;3781;4297;5839;1746;5343;4320;3813;2790;2791;233;2297;3322;1275;3835;764;768;5384;2313;3852;2831;3344;4904;4925;1856;1863;4424;3912;5962;3930;2922;875;5484;5489;2942;3978;4495;1437;1953;932;1959;2477;3502;437;953;2497;451;4039;5066;5591;3036;4063;3558;3560;4589;5102;3059;4086;1018;5115;5629,3073;3074;5130;4634;2080;1569;2593;1062;5166;1591;4154;4667;577;66;3649;582;1098;4172;594;5212;4701;2657;3684;5735;3688;1131;4204;5743;626;3699;4723;2691;4755;3221;1692;3744;2726;3238;3755;1217;714;4815;4817;2259;3287;3296;3809;3810;4324;5862;3305;234;3306;2287;5363;2293;1271;257;784;3858;2838;3356;3872;288;2852;3365;4900;5936;307;5427;4405;1847;5945;3902;1349;4943;1371;1378;3947;3437;372;5499;3452;1917;6013;4994;4484;3461;2957;1940;5528;2970;1446;4518;5542;946;1972;2488;446;447;5056;452;5579;4044;5582;1488;5095;5609;2543;4595;1021
0004,2689;130;1157;2694;3207;5255;2697;3461;5003;5645;2957;4495;1940;4374;3864;283;1949;5534;2849;5284;1702;2729;1198;1071;307;1972;5560;953;4536;2875;452;1349;4175;4179;5460;86;5593;5984;2401;5218;609;2276;1765;3560;3306;1131;2922;496;4595;884;4982;374;761;3835;3452;1021,3456;3073;389;6031;661;790;2201;538;4634;1437;288;4772;2726;5670;4904;682;4143;5936;690;5427;567;568;2363;4027;3902;3135;1856;4545;4801;451;5696;2505;206;2510;81;2770;4050;5973;346;3036;2788;101;5862;3688;1259;3820;4461;1518;5102;3697;4337;372;121;5499;894
0005,2307;2691;2693;4489;1802;138;3596;5517;2185;3978;5653;3864;4888;3226;2974;928;2593;1699;4904;307;1718;953;829;3902;3267;5446;840;2764;81;4177;2259;2901;5596;5597;5085;97;5862;3815;3304;1643;2414;4207;5103;4084;374;3704;3322;1021;2814;2943,4994;5255;2056;3210;4874;2828;5645;274;3474;4373;2070;5913;4634;1437;2465;1062;1446;2726;1966;5423;2609;3889;5942;5434;5948;577;4801;1863;4681;4815;210;4179;4947;725;3158;5335;5208;346;2526;3684;4327;3688;1258;5739;1134;5102;2163;3835;5629;1790
0006,1026;3842;6020;1926;2185;1802;3596;1425;4888;2841;4634;27;1699;2340;5413;1062;1191;424;4921;5948;3521;4418;195;3394;2373;710;1224;5451;2251;5069;5582;5329;81;3292;5469;1378;3045;1896;2030;5999;2293;2941;5759,5511;3210;5625;3474;2072;3356;1698;3490;5794;549;1446;5795;4136;1835;3885;1586;307;3635;4021;4277;5300;1211;3646;3651;2244;839;4298;2764;2002;1117;2526;4448;97;1635;2793;1258;1643;5100;1134;112;5749;504;3833
0007,2145;3140;1221;4201;139;567;858;764,2308;4484;4904;5000;4298;1132;2510;1746
0008,4737;645;2694;1670;266;3466;4236;2574;2831;3604;1940;2201;5275;413;2849;2593;2339;420;2852;4518;1959;682;5291;5165;1330;184;953;5056;451;2118;4811;3790;2510;4052;91;989;5469;2401;2145;2914;101;231;233;4595;3835;1021,4994;5768;3596;3853;5007;4752;3864;4888;3738;4634;3356;2082;1702;2726;4904;5542;5290;4273;307;1971;3251;5427;3257;4925;446;1343;3902;4801;5952;2243;2117;5582;5072;4817;1363;2003;5343;3173;5862;3177;1131;2155;4589;2809;5375
0009,257;1410;2689;5255;5768;2697;3210;5003;3339;7;5770;3596;5907;2964;3356;1437;926;928;288;5157;1446;5671;5427;1972;307;1718;5560;953;4027;3902;1343;1856;4801;3522;65;2240;1349;5446;1986;4172;5069;5582;5454;4047;2384;4179;2648;346;2139;4187;3036;3039;1378;5862;3688;3560;5994;2155;875;5484;5736;1256;4080;5997;4595;372;2420;2678;3699;5499;5372;4093;2943,3587;6020;2694;649;5257;6027;2828;3468;4623;3474;2324;661;5141;2583;2970;4634;412;1949;4895;3872;2593;5794;1315;4131;1062;1830;2726;2983;682;2171;4135;4136;1198;5545;1586;1591;3002;2363;2683;3772;5948;2369;5058;451;452;3781;5200;4050;979;5973;2137;4697;3835;3296;97;4195;5221;231;4584;1258;1131;1259;1005;494;2922;3306;5102;5873;2293;2423;3704;635;1021
