,num_ratings,num_users,num_movies,name,algo_name,rmse_all,rmse_non-boycott,rmse_boycott,rmse_all-like-boycott,mae_all,mae_non-boycott,mae_boycott,mae_all-like-boycott,prec10t4_all,prec10t4_non-boycott,prec10t4_boycott,prec10t4_all-like-boycott,prec5t4_all,prec5t4_non-boycott,prec5t4_boycott,prec5t4_all-like-boycott,rec10t4_all,rec10t4_non-boycott,rec10t4_boycott,rec10t4_all-like-boycott,rec5t4_all,rec5t4_non-boycott,rec5t4_boycott,rec5t4_all-like-boycott,ndcg10_all,ndcg10_non-boycott,ndcg10_boycott,ndcg10_all-like-boycott,ndcg5_all,ndcg5_non-boycott,ndcg5_boycott,ndcg5_all-like-boycott,ndcgfull_all,ndcgfull_non-boycott,ndcgfull_boycott,ndcgfull_all-like-boycott,prec10t4_frac_all,prec10t4_frac_non-boycott,prec10t4_frac_boycott,prec10t4_frac_all-like-boycott,prec5t4_frac_all,prec5t4_frac_non-boycott,prec5t4_frac_boycott,prec5t4_frac_all-like-boycott,rec10t4_frac_all,rec10t4_frac_non-boycott,rec10t4_frac_boycott,rec10t4_frac_all-like-boycott,rec5t4_frac_all,rec5t4_frac_non-boycott,rec5t4_frac_boycott,rec5t4_frac_all-like-boycott,ndcg10_frac_all,ndcg10_frac_non-boycott,ndcg10_frac_boycott,ndcg10_frac_all-like-boycott,ndcg5_frac_all,ndcg5_frac_non-boycott,ndcg5_frac_boycott,ndcg5_frac_all-like-boycott,ndcgfull_frac_all,ndcgfull_frac_non-boycott,ndcgfull_frac_boycott,ndcgfull_frac_all-like-boycott,tailprec10t4_all,tailprec10t4_non-boycott,tailprec10t4_boycott,tailprec10t4_all-like-boycott,tailprec5t4_all,tailprec5t4_non-boycott,tailprec5t4_boycott,tailprec5t4_all-like-boycott,tailrec10t4_all,tailrec10t4_non-boycott,tailrec10t4_boycott,tailrec10t4_all-like-boycott,tailrec5t4_all,tailrec5t4_non-boycott,tailrec5t4_boycott,tailrec5t4_all-like-boycott,tailndcg10_all,tailndcg10_non-boycott,tailndcg10_boycott,tailndcg10_all-like-boycott,tailndcg5_all,tailndcg5_non-boycott,tailndcg5_boycott,tailndcg5_all-like-boycott,tailndcgfull_all,tailndcgfull_non-boycott,tailndcgfull_boycott,tailndcgfull_all-like-boycott,fit_time_all,fit_time_non-boycott,fit_time_boycott,fit_time_all-like-boycott,test_times_all,test_times_non-boycott,test_times_boycott,test_times_all-like-boycott,num_tested_all,num_tested_non-boycott,num_tested_boycott,num_tested_all-like-boycott
0000_GlobalMean,899177,5436,3698,604 user sample,GlobalMean,1.1171023596384237,1.1191497165251423,1.0987031197396186,1.0987031197396186,0.9339379595434509,0.9355425329022438,0.9196573533082733,0.9196573533082733,0.6286254231364883,0.6285036675393922,0.6297205802031633,0.6297205802031633,0.6286190169340355,0.6285476150147413,0.6292611908310769,0.6292611908310769,0.5705162040627757,0.5725927328383047,0.5518584643955803,0.5518584643955803,0.37074984667065863,0.3724775782126967,0.35523953773984923,0.35523953773984923,0.5917287457164532,0.5920419252377586,0.5890016965125487,0.5890016965125487,0.5796186545653947,0.5800953529554352,0.5753799368975047,0.5753799368975047,0.8276839746611762,0.8277591806707397,0.827008631012823,0.827008631012823,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.7241676134302788,0.7206271240932001,0.7560566583231635,0.7560566583231635,0.9247308531797133,0.9235499161489729,0.9353611983061377,0.9353611983061377,1.0,1.0,1.0,1.0,0.5933461892643068,0.5936519578563566,0.5905811507211572,0.5905811507211572,0.5949376178337658,0.5951017710167015,0.5934504925977226,0.5934504925977226,0.6721112531425361,0.673486175019829,0.6596999027723961,0.6596999027723961,0.48901620968040654,0.4912013286795318,0.46928375171075754,0.46928375171075754,0.5869565178769882,0.5865522315927755,0.590390581780098,0.590390581780098,0.5808565463193485,0.5816469454115853,0.5738019331040535,0.5738019331040535,0.8326828411913159,0.8329380765716934,0.830381408871078,0.830381408871078,1.1648308277130126,1.1648308277130126,1.1648308277130126,1.1648308277130126,40.406557655334474,76.43718423843384,89.21977877616882,92.78020606040954,200041.8,179835.4,20206.4,20206.4
0000_MovieMean,899177,5436,3698,604 user sample,MovieMean,0.9796979484291365,0.9824018226193999,0.9552894457606502,0.9552894457606502,0.7826421565463614,0.7847200763337965,0.7641487984910158,0.7641487984910158,0.7855316998700884,0.785158765177831,0.7888793662404738,0.7888793662404738,0.810784896208068,0.8102071141468837,0.815968662668436,0.815968662668436,0.6321403313967255,0.633723979211297,0.6179114235486671,0.6179114235486671,0.4354591775673276,0.43739503865457563,0.41806520892580706,0.41806520892580706,0.7737134132138767,0.7738120632363703,0.7728264556482585,0.7728264556482585,0.7668228617372915,0.7669565829803157,0.7656014802074774,0.7656014802074774,0.9027090034436258,0.9025153601861968,0.904453159539818,0.904453159539818,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.9916514934124997,0.9913500633106758,0.9943653623224733,0.9943653623224733,0.7241676134302788,0.7206271240932001,0.7560566583231635,0.7560566583231635,0.9247308531797133,0.9235499161489729,0.9353611983061377,0.9353611983061377,1.0,1.0,1.0,1.0,0.742561776365388,0.7426135853917868,0.7420855468350502,0.7420855468350502,0.7622491858563507,0.7623198986287857,0.7615934987857746,0.7615934987857746,0.731577367826799,0.7327481024299657,0.7210025744197401,0.7210025744197401,0.5564283961168282,0.5586207581068786,0.5366327898946137,0.5366327898946137,0.7559885720835468,0.7560565582009087,0.7554201628270099,0.7554201628270099,0.747646450789593,0.7484248273279238,0.7407154936621955,0.7407154936621955,0.8995677804761784,0.8995645426413243,0.8995933594610662,0.8995933594610662,3.1326224327087404,3.1326224327087404,3.1326224327087404,3.1326224327087404,47.06584219932556,87.09726796150207,101.56395864486694,102.93426451683044,200041.8,179835.4,20206.4,20206.4
0001_GlobalMean,896376,5436,3697,604 user sample,GlobalMean,1.1171126085319463,1.1156135378254102,1.1299659657264007,1.1299659657264007,0.9331064639636896,0.9319419510516884,0.9431595616934159,0.9431595616934159,0.6272081251257486,0.6280490052066843,0.6196264867455307,0.6196264867455307,0.6269448525938194,0.6281354606725406,0.6162150307882441,0.6162150307882441,0.5713894906492414,0.5724323065869381,0.5619961141309844,0.5619961141309844,0.37127817794858675,0.37321395896479104,0.3538442751115657,0.3538442751115657,0.5919732419225378,0.5923256019861537,0.5888364693542136,0.5888364693542136,0.5788361903378048,0.5800848043328055,0.5677324090749696,0.5677324090749696,0.8269179204671493,0.8274176460139866,0.8224210228871778,0.8224210228871778,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.723576874489023,0.7209069765946683,0.7475948074198544,0.7475948074198544,0.9253859505691355,0.9243086252325978,0.9350762742578498,0.9350762742578498,1.0,1.0,1.0,1.0,0.5892658379823741,0.5905522809410854,0.5777355246069946,0.5777355246069946,0.5900139131942944,0.5911138338070231,0.5801724401410117,0.5801724401410117,0.6721798240577576,0.6729087797418225,0.6656122595034207,0.6656122595034207,0.4892962447985914,0.4902158149877024,0.4810556311175699,0.4810556311175699,0.5850224596539576,0.5853524273563229,0.5820571017252353,0.5820571017252353,0.5797788757401655,0.5804562088858471,0.573790465755905,0.573790465755905,0.831932313176312,0.8324877262369059,0.8269234409604129,0.8269234409604129,1.0189730167388915,1.0189730167388915,1.0189730167388915,1.0189730167388915,50.14244818687439,92.00693030357361,106.86602363586425,108.4282241821289,200041.8,179275.2,20766.6,20766.6
0001_MovieMean,896376,5436,3697,604 user sample,MovieMean,0.9797555277996045,0.979667793543614,0.9805115127402496,0.9805115127402496,0.7823519409145072,0.7824827542497612,0.7812226454086781,0.7812226454086781,0.7851550163876638,0.7854223310520771,0.7827410401099723,0.7827410401099723,0.8093742950898204,0.809691781243828,0.8065058350232087,0.8065058350232087,0.6318750606082675,0.6328054449974405,0.623491278170914,0.623491278170914,0.4351792311827123,0.4364017557952164,0.4241683728484012,0.4241683728484012,0.7732580567499985,0.7732743168273928,0.7731005372849806,0.7731005372849806,0.7661857763418986,0.7664603444769594,0.7637195867847737,0.7637195867847737,0.9027709086644362,0.9027837521323706,0.9026537940460699,0.9026537940460699,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.9918495373830523,0.9919375861119206,0.9910574061261024,0.9910574061261024,0.723576874489023,0.7209069765946683,0.7475948074198544,0.7475948074198544,0.9253859505691355,0.9243086252325978,0.9350762742578498,0.9350762742578498,1.0,1.0,1.0,1.0,0.7438401303887379,0.7443398777823448,0.7393557779859132,0.7393557779859132,0.7630436377885547,0.7635465724936056,0.7585380410457397,0.7585380410457397,0.7319831675608885,0.7322828453196102,0.7292739232949568,0.7292739232949568,0.5567797766618321,0.5573562976790447,0.5515922423792485,0.5515922423792485,0.7547476951103597,0.7547720720307224,0.7544613978033248,0.7544613978033248,0.7474551342025236,0.7477905873742307,0.7444517522048193,0.7444517522048193,0.8999761479180851,0.9000884338818361,0.8989681411013081,0.8989681411013081,2.9999523162841797,2.9999523162841797,2.9999523162841797,2.9999523162841797,57.63954658508301,101.75689601898193,119.67557420730591,123.74294028282165,200041.8,179275.2,20766.6,20766.6
0002_GlobalMean,908438,5436,3698,604 user sample,GlobalMean,1.117101870780163,1.1184767199793602,1.1033936224399188,1.1033936224399188,0.9338331827146353,0.9348944825955146,0.923327446673029,0.923327446673029,0.6287501444565862,0.629304220626971,0.6237631251231148,0.6237631251231148,0.6274294715206641,0.6281938317243048,0.6205438820611224,0.6205438820611224,0.5705643982825943,0.5674650419394691,0.5984763488424532,0.5984763488424532,0.37059442154301936,0.3681075890614521,0.39299180886887103,0.39299180886887103,0.5919407211867046,0.5914780978482852,0.5961799874214726,0.5961799874214726,0.5790278844903498,0.5786035615181977,0.5828397603937923,0.5828397603937923,0.8274161163093341,0.8276942697885087,0.8249124548700213,0.8249124548700213,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.7242306607095318,0.7266505956454378,0.7024496721689564,0.7024496721689564,0.9241576374133704,0.92394070778328,0.9261089695012794,0.9261089695012794,1.0,1.0,1.0,1.0,0.5938651902785897,0.594789539642022,0.5855738024012148,0.5855738024012148,0.5937118344052177,0.5946277985506894,0.5854724080163847,0.5854724080163847,0.6723589993879406,0.669249400681676,0.7003906354676852,0.7003906354676852,0.488103418667055,0.48512594790172753,0.5149318379822931,0.5149318379822931,0.5870647737505933,0.5863249936776896,0.5937088093788297,0.5937088093788297,0.5791937206372457,0.5786666923072457,0.5840353620835288,0.5840353620835288,0.8325779062485769,0.8325486022919236,0.8328426211831594,0.8328426211831594,1.2300704002380372,1.2300704002380372,1.2300704002380372,1.2300704002380372,49.72037534713745,94.45288143157958,109.16407542228698,110.60288586616517,200041.8,181687.6,18354.2,18354.2
0002_MovieMean,908438,5436,3698,604 user sample,MovieMean,0.9796390964197345,0.9813805620270102,0.9622169333619072,0.9622169333619072,0.7823745851692724,0.7839047519519801,0.7672275696847101,0.7672275696847101,0.7864049715034275,0.7865013940381862,0.7855477957507322,0.7855477957507322,0.8102056749892478,0.8100971104050334,0.8112016474725552,0.8112016474725552,0.6321473516646166,0.6288199876385528,0.6621134867252987,0.6621134867252987,0.43436618625255957,0.43141020859571555,0.46099435708657743,0.46099435708657743,0.7737620131658989,0.7727349445487923,0.7833375448578763,0.7833375448578763,0.7667603359420825,0.7658260241703352,0.7751586104429066,0.7751586104429066,0.9029186133221574,0.9027999487267853,0.9039860061493062,0.9039860061493062,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.9913522453507799,0.9914222374215189,0.9907218872524792,0.9907218872524792,0.7242306607095318,0.7266505956454378,0.7024496721689564,0.7024496721689564,0.9241576374133704,0.92394070778328,0.9261089695012794,0.9261089695012794,1.0,1.0,1.0,1.0,0.7441975759412571,0.7448387947745208,0.7384488706928153,0.7384488706928153,0.7638668988816224,0.7647031843913561,0.7563690136093116,0.7563690136093116,0.7316617149633342,0.7281774965773937,0.7630504632223729,0.7630504632223729,0.5561820581195747,0.553063650936565,0.584269423263683,0.584269423263683,0.7561084509461943,0.7551425202415347,0.7652610441725749,0.7652610441725749,0.7467572408414466,0.7462770086550536,0.7511693814320763,0.7511693814320763,0.9001642180334543,0.9001239328441546,0.9005269080003121,0.9005269080003121,2.7934379100799562,2.7934379100799562,2.7934379100799562,2.7934379100799562,60.11634526252747,110.21382188796997,126.56698956489564,128.0426553249359,200041.8,181687.6,18354.2,18354.2
0003_GlobalMean,902028,5436,3697,604 user sample,GlobalMean,1.1171028295026642,1.1175544191529447,1.112937570302585,1.112937570302585,0.9337825759288968,0.9341979207443742,0.9299665844133139,0.9299665844133139,0.6303520759824883,0.6305175936086882,0.6288526669115658,0.6288526669115658,0.6295825507793262,0.6295847857500548,0.6295588344726097,0.6295588344726097,0.5714020410809988,0.5690666380569571,0.5923979468439174,0.5923979468439174,0.37158492203601906,0.3698739951147355,0.3869747773822893,0.3869747773822893,0.592372849848522,0.5919254550976538,0.5964964040016292,0.5964964040016292,0.5806884628103413,0.5799257323874473,0.5876058479790783,0.5876058479790783,0.8280669763660768,0.8278613713213858,0.8299156258681102,0.8299156258681102,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.7241508574167204,0.7267729181170289,0.7005688994321988,0.7005688994321988,0.9268970830779993,0.9274605412650445,0.9218323394067192,0.9218323394067192,1.0,1.0,1.0,1.0,0.5953262493776973,0.5950647534398419,0.5976559319094182,0.5976559319094182,0.5947952179952447,0.5944460573392824,0.5979104002688772,0.5979104002688772,0.6730426282430219,0.671122136605776,0.6902098366237357,0.6902098366237357,0.48912407332318236,0.4864499364385293,0.5130093395687638,0.5130093395687638,0.5867426506257982,0.5867208467801305,0.5868003467052894,0.5868003467052894,0.5802963768779656,0.5796198974494164,0.5865275388509804,0.5865275388509804,0.8326722835370581,0.8322396366449984,0.8365614590056081,0.8365614590056081,1.3908666133880616,1.3908666133880616,1.3908666133880616,1.3908666133880616,50.958897495269774,99.01906580924988,118.2744201183319,119.84962182044983,200041.8,180405.6,19636.2,19636.2
0003_MovieMean,902028,5436,3697,604 user sample,MovieMean,0.9796669708520879,0.9810250442560806,0.9670901439697426,0.9670901439697426,0.7824581784054448,0.7838976101157633,0.7692335152837012,0.7692335152837012,0.7852020377025271,0.7850709144231155,0.7863746902683705,0.7863746902683705,0.8092615110307839,0.8094156166515878,0.8078735300984006,0.8078735300984006,0.6319872896624211,0.6299640468960701,0.6501839737215969,0.6501839737215969,0.43504666737388165,0.43328125411517354,0.4509261393926855,0.4509261393926855,0.7734035885060313,0.7730981801976956,0.7762408552764777,0.7762408552764777,0.7662846481681435,0.7660908033234332,0.7680496852544142,0.7680496852544142,0.9027214811361126,0.9026601687209157,0.9032718257650508,0.9032718257650508,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.9918813976626014,0.9918625310851775,0.9920513327402721,0.9920513327402721,0.7241508574167204,0.7267729181170289,0.7005688994321988,0.7005688994321988,0.9268970830779993,0.9274605412650445,0.9218323394067192,0.9218323394067192,1.0,1.0,1.0,1.0,0.745307071619624,0.7440537393993008,0.7564825225293808,0.7564825225293808,0.7643982029414568,0.7630483292277495,0.7764283718681824,0.7764283718681824,0.7325392984592505,0.730897523210184,0.7472347345538426,0.7472347345538426,0.5571525877413708,0.5543926911972108,0.5818332490462057,0.5818332490462057,0.7561843566704958,0.7558260829316158,0.7597093965341946,0.7597093965341946,0.7482005942673896,0.747357295252389,0.7559950880361057,0.7559950880361057,0.9001252141570608,0.8998232030150074,0.9028375901905251,0.9028375901905251,3.372514581680298,3.372514581680298,3.372514581680298,3.372514581680298,56.74753637313843,94.96951446533203,109.99918713569642,115.05419697761536,200041.8,180405.6,19636.2,19636.2
0004_GlobalMean,903855,5436,3699,604 user sample,GlobalMean,1.1171030637192314,1.1177995249049553,1.1105378522422487,1.1105378522422487,0.9340824116614266,0.9344029403933986,0.9310756964923993,0.9310756964923993,0.6272619451714231,0.6258887949660631,0.6395996657618715,0.6395996657618715,0.6274052343996958,0.6258968338319987,0.640949336105318,0.640949336105318,0.570559506911487,0.5686579677190882,0.5876471174302323,0.5876471174302323,0.37094128091283274,0.3691220646183993,0.3872809884290228,0.3872809884290228,0.5907611562110657,0.589904402872286,0.5986883519249461,0.5986883519249461,0.5799092623000452,0.5789812679582947,0.5883964781154661,0.5883964781154661,0.8277323581680642,0.8272817246668837,0.831785819285001,0.831785819285001,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.7217450454514346,0.7236676752412288,0.704445762358187,0.704445762358187,0.9251848037109033,0.926481167032207,0.913519598475613,0.913519598475613,1.0,1.0,1.0,1.0,0.5885827592709116,0.5873676291922726,0.5995775701277906,0.5995775701277906,0.5895445210981706,0.5880832043377793,0.6027639966972443,0.6027639966972443,0.672012139723936,0.6702597597264962,0.6878059363090536,0.6878059363090536,0.4883237462685733,0.4860441067467184,0.5088866843292086,0.5088866843292086,0.5861431266453883,0.5863673220786544,0.5839882259118557,0.5839882259118557,0.5789433147991421,0.5784827119991051,0.5831777890147549,0.5831777890147549,0.8316999466177869,0.8311471631908125,0.8366687609159614,0.8366687609159614,1.1286900043487549,1.1286900043487549,1.1286900043487549,1.1286900043487549,53.351691770553586,96.75598220825195,109.46651062965392,110.93239755630493,200041.8,180771.0,19270.8,19270.8
0004_MovieMean,903855,5436,3699,604 user sample,MovieMean,0.979741105472425,0.9812136102752417,0.9658122586605629,0.9658122586605629,0.7828222516204819,0.7836410684951243,0.7751412996131808,0.7751412996131808,0.7843429364452057,0.7833859229272315,0.7929393340820903,0.7929393340820903,0.8088727173921748,0.8082623502408957,0.814353979771643,0.814353979771643,0.6313623159685176,0.6293629513452176,0.6493295146676863,0.6493295146676863,0.4354525346584131,0.43354437816230773,0.4525956979279619,0.4525956979279619,0.7729008226531536,0.7717737554589285,0.7832906870209608,0.7832906870209608,0.7664821599283843,0.7655958135684245,0.7745929623139662,0.7745929623139662,0.9025366474474712,0.9022771288551235,0.9048710165090469,0.9048710165090469,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.9918821612698039,0.9917534307712905,0.9930403171779074,0.9930403171779074,0.7217450454514346,0.7236676752412288,0.704445762358187,0.704445762358187,0.9251848037109033,0.926481167032207,0.913519598475613,0.913519598475613,1.0,1.0,1.0,1.0,0.7430377538017862,0.742050265889001,0.7519449043813417,0.7519449043813417,0.7630874394695564,0.7621681251374224,0.7713808841869437,0.7713808841869437,0.7327968258848264,0.7309347994137496,0.7495853272907397,0.7495853272907397,0.556951928200984,0.5546356149835794,0.5778254232915652,0.5778254232915652,0.7558781379619901,0.7554178301238709,0.76025281023392,0.76025281023392,0.747048420400408,0.7461279083047391,0.7555561340547354,0.7555561340547354,0.8995517495424735,0.8990581478028652,0.9039902534409674,0.9039902534409674,3.1695455074310304,3.1695455074310304,3.1695455074310304,3.1695455074310304,64.45585231781006,110.505122423172,126.31112055778503,127.59897594451904,200041.8,180771.0,19270.8,19270.8
