,boycott_uid_set,like_boycotters_uid_set
0000,1608;417;2492,
0001,2897;66;2546,
0002,4075;4284;303,
0003,4434;3981;3245,
0004,3722;1227;5357,
0005,6032;1381;69,
0006,4411;3243;3119,
0007,5353;797;4271,
0008,4787;3700;1341,
0009,2656;5649;3390,
0010,172;2085;1758,
0011,4837;3054;3879,
0012,4018;2059;290,
0013,2721;594;1137,
0014,2736;745;3011,
0015,3833;770;1339,
0016,4069;2302;5175,
0017,1480;4705;1403,
0018,2100;1214;3071,
0019,3576;5849;3484,
0020,4994;3789;5886,
0021,328;4142;3031,
0022,2125;4302;4631,
0023,5513;2793;2158,
0024,4700;5460;2607,
0025,6009;3595;2126,
0026,3345;1651;1467,
0027,1242;3676;3639,
0028,3586;3260;1574,
0029,2546;3310;2558,
0030,5673;169;4797,
0031,4792;5145;1800,
0032,3480;425;2798,
0033,2617;2482;3444,
0034,3562;3595;3910,
0035,2986;4058;3451,
0036,5354;118;3727,
0037,3409;3265;4960,
0038,1338;259;5228,
0039,3864;4943;4983,
0040,485;3622;3903,
0041,3697;1690;4866,
0042,2019;5924;3325,
0043,4073;5650;2956,
0044,3040;396;839,
0045,5386;637;5430,
0046,1477;2253;7,
0047,5040;5425;5156,
0048,5296;1401;2583,
0049,352;1939;5151,
0050,251;5014;2183,
0051,4128;5226;5798,
0052,1082;3547;3183,
0053,1127;5397;4159,
0054,1954;3043;4677,
0055,3856;3965;5256,
0056,2909;4221;5350,
0057,987;411;4463,
0058,472;5961;1255,
0059,6001;2621;3615,
0060,692;1756;973,
0061,968;4907;4886,
0062,4890;3772;634,
0063,5678;5820;3598,
0064,1664;4009;5643,
0065,1161;910;3935,
0066,523;4813;1151,
0067,3081;1620;1356,
0068,888;4088;405,
0069,5873;5715;2606,
0070,184;1186;4213,
0071,1167;1486;895,
0072,3440;5355;5917,
0073,5160;1653;3533,
0074,5984;1598;230,
0075,1344;4081;1035,
0076,906;2818;4132,
0077,3737;402;2491,
0078,1080;4571;575,
0079,5778;3787;2724,
0080,5906;1723;3469,
0081,1884;1166;3719,
0082,419;5348;4135,
0083,632;2554;3195,
0084,4489;5948;3870,
0085,3275;3157;2702,
0086,3396;1302;1991,
0087,4050;498;3674,
0088,4001;858;4095,
0089,3289;468;4165,
0090,3833;4554;2469,
0091,5275;5452;4198,
0092,4568;5165;2455,
0093,3284;5685;39,
0094,5774;1836;702,
0095,97;5073;591,
0096,5504;5774;486,
0097,3157;1909;1999,
0098,1552;2753;1457,
0099,3123;3203;1949,
0100,1440;2414;1047,
0101,4264;2285;4109,
0102,2712;786;388,
0103,544;876;951,
0104,609;2668;3727,
0105,3810;2989;5487,
0106,4480;3532;1596,
0107,3303;3485;5775,
0108,3625;1298;4822,
0109,5696;4413;3615,
0110,65;5714;5379,
0111,5729;5747;1437,
0112,1969;5722;3146,
0113,5897;897;3591,
0114,3881;1121;4439,
0115,4722;3419;5549,
0116,4040;3330;4524,
0117,2568;676;2295,
0118,3904;5699;5021,
0119,2442;3284;607,
0120,3572;508;1270,
0121,4258;198;4207,
0122,3329;2069;3535,
0123,440;4570;3339,
0124,5540;826;636,
0125,778;812;4725,
0126,3152;4802;1396,
0127,208;5609;4036,
0128,3928;265;2404,
0129,3536;2075;4460,
0130,594;637;2319,
0131,4113;2531;3049,
0132,5952;2278;5087,
